Measurement taken on,Hydrometer distance
2020-10-13T02:08:26+00:00,8.02
2020-10-13T02:12:47+00:00,8.39
2020-10-13T02:13:32+00:00,8.3
2020-10-13T02:13:54+00:00,8.17
2020-10-13T02:17:27+00:00,8.08
2020-10-13T02:17:49+00:00,8.42
2020-10-13T02:19:19+00:00,8.33
2020-10-13T02:22:14+00:00,7.9
2020-10-13T02:23:11+00:00,8.28
2020-10-13T02:29:09+00:00,7.9
2020-10-13T02:35:59+00:00,7.87
2020-10-13T02:38:18+00:00,7.93
2020-10-13T02:42:15+00:00,8.34
2020-10-13T02:43:27+00:00,8.48
2020-10-13T02:45:01+00:00,7.97
2020-10-13T02:48:15+00:00,8.14
2020-10-13T02:52:38+00:00,8.62
2020-10-13T02:53:00+00:00,8.25
2020-10-13T02:54:57+00:00,8.07
2020-10-13T03:01:18+00:00,7.98
2020-10-13T03:04:02+00:00,8.15
2020-10-13T03:04:24+00:00,8.15
2020-10-13T03:04:46+00:00,8.29
2020-10-13T03:05:09+00:00,7.99
2020-10-13T03:06:18+00:00,8.27
2020-10-13T03:09:05+00:00,8.52
2020-10-13T03:10:39+00:00,8.07
2020-10-13T03:12:12+00:00,8.06
2020-10-13T03:14:31+00:00,8.53
2020-10-13T03:15:16+00:00,8.16
2020-10-13T03:16:25+00:00,8.82
2020-10-13T03:20:50+00:00,8.35
2020-10-13T03:21:12+00:00,8.03
2020-10-13T03:22:45+00:00,8.33
2020-10-13T03:23:55+00:00,8.7
2020-10-13T03:24:40+00:00,8.21
2020-10-13T03:25:26+00:00,8.62
2020-10-13T03:26:12+00:00,8.48
2020-10-13T03:26:58+00:00,8.21
2020-10-13T03:28:10+00:00,8.74
2020-10-13T03:34:18+00:00,8.3
2020-10-13T03:35:53+00:00,8.59
2020-10-13T03:36:40+00:00,8.1
2020-10-13T03:38:37+00:00,8.75
2020-10-13T03:39:00+00:00,8.79
2020-10-13T03:40:32+00:00,8.9
2020-10-13T03:40:55+00:00,8.49
2020-10-13T03:41:41+00:00,8.94
2020-10-13T03:42:55+00:00,8.52
2020-10-13T03:47:19+00:00,8.79
2020-10-13T03:49:17+00:00,8.49
2020-10-13T03:50:26+00:00,8.74
2020-10-13T03:50:48+00:00,8.89
2020-10-13T03:51:36+00:00,8.68
2020-10-13T03:51:59+00:00,8.64
2020-10-13T03:52:45+00:00,8.53
2020-10-13T03:53:55+00:00,8.66
2020-10-13T03:54:19+00:00,8.74
2020-10-13T03:54:42+00:00,8.53
2020-10-13T03:57:14+00:00,8.8
2020-10-13T04:01:32+00:00,8.59
2020-10-13T04:04:06+00:00,8.45
2020-10-13T04:04:28+00:00,8.67
2020-10-13T04:06:02+00:00,8.44
2020-10-13T04:08:48+00:00,8.7
2020-10-13T04:09:33+00:00,8.43
2020-10-13T04:11:53+00:00,8.72
2020-10-13T04:13:37+00:00,8.63
2020-10-13T04:13:59+00:00,8.7
2020-10-13T04:18:21+00:00,8.91
2020-10-13T04:23:29+00:00,8.59
2020-10-13T04:24:40+00:00,8.4
2020-10-13T04:25:02+00:00,8.37
2020-10-13T04:25:47+00:00,8.8
2020-10-13T04:28:42+00:00,8.6
2020-10-13T04:33:05+00:00,8.27
2020-10-13T04:34:15+00:00,8.71
2020-10-13T04:34:37+00:00,8.71
2020-10-13T04:35:22+00:00,8.52
2020-10-13T04:36:44+00:00,8.99
2020-10-13T04:37:30+00:00,8.65
2020-10-13T04:42:10+00:00,8.63
2020-10-13T04:45:46+00:00,8.77
2020-10-13T04:46:32+00:00,8.76
2020-10-13T04:48:52+00:00,8.64
2020-10-13T04:56:00+00:00,8.36
2020-10-13T04:56:22+00:00,8.68
2020-10-13T04:56:45+00:00,8.73
2020-10-13T04:57:07+00:00,8.33
2020-10-13T04:59:04+00:00,8.64
2020-10-13T04:59:50+00:00,8.57
2020-10-13T05:00:12+00:00,8.68
2020-10-13T05:01:46+00:00,8.61
2020-10-13T05:02:33+00:00,8.57
2020-10-13T05:03:20+00:00,8.64
2020-10-13T05:05:44+00:00,8.64
2020-10-13T05:06:30+00:00,8.33
2020-10-13T05:07:43+00:00,8.55
2020-10-13T05:08:54+00:00,8.2
2020-10-13T05:10:05+00:00,8.5
2020-10-13T05:10:27+00:00,8.6
2020-10-13T05:14:24+00:00,8.63
2020-10-13T05:15:10+00:00,8.72
2020-10-13T05:52:50+00:00,8.57
2020-10-13T05:56:21+00:00,8.32
2020-10-13T06:14:59+00:00,8.2
2020-10-13T06:15:21+00:00,8.24
2020-10-13T06:19:16+00:00,8.12
2020-10-13T06:20:49+00:00,8.1
2020-10-13T06:24:46+00:00,8.19
2020-10-13T06:25:31+00:00,8.17
2020-10-13T06:31:00+00:00,8.17
2020-10-13T06:34:32+00:00,8.16
2020-10-13T06:35:42+00:00,8.38
2020-10-13T06:36:04+00:00,8.3
2020-10-13T06:37:12+00:00,8.39
2020-10-13T06:37:34+00:00,8.54
2020-10-13T06:39:53+00:00,8.31
2020-10-13T06:42:14+00:00,8.37
2020-10-13T06:43:12+00:00,8.5
2020-10-13T06:43:57+00:00,8.19
2020-10-13T06:45:29+00:00,8.37
2020-10-13T06:46:39+00:00,8.37
2020-10-13T06:49:35+00:00,8.24
2020-10-13T06:49:57+00:00,8.19
2020-10-13T06:50:43+00:00,8.11
2020-10-13T06:51:06+00:00,8.33
2020-10-13T06:54:26+00:00,8.25
2020-10-13T06:57:08+00:00,8.33
2020-10-13T06:59:03+00:00,8.22
2020-10-13T06:59:25+00:00,8.3
2020-10-13T07:08:09+00:00,8.18
2020-10-13T07:13:27+00:00,8.43
2020-10-13T07:15:00+00:00,8.29
2020-10-13T07:23:04+00:00,8.48
2020-10-13T07:23:49+00:00,8.39
2020-10-13T07:30:51+00:00,8.38
2020-10-13T07:32:48+00:00,8.32
2020-10-13T07:35:54+00:00,8.39
2020-10-13T07:36:16+00:00,8.39
2020-10-13T07:36:38+00:00,8.37
2020-10-13T07:39:24+00:00,7.98
2020-10-13T07:41:10+00:00,8.23
2020-10-13T07:42:55+00:00,8.23
2020-10-13T07:43:40+00:00,8.34
2020-10-13T07:47:58+00:00,8.5
2020-10-13T07:49:19+00:00,8.49
2020-10-13T07:50:27+00:00,8.49
2020-10-13T07:52:25+00:00,8.47
2020-10-13T07:54:34+00:00,8.5
2020-10-13T07:55:19+00:00,8.39
2020-10-13T07:56:05+00:00,8.43
2020-10-13T07:59:36+00:00,8.28
2020-10-13T08:01:55+00:00,8.64
2020-10-13T08:02:52+00:00,8.78
2020-10-13T08:03:37+00:00,8.44
2020-10-13T08:06:46+00:00,8.48
2020-10-13T08:07:55+00:00,8.51
2020-10-13T08:10:16+00:00,8.49
2020-10-13T08:11:01+00:00,8.48
2020-10-13T08:11:47+00:00,8.38
2020-10-13T08:12:58+00:00,8.52
2020-10-13T08:13:19+00:00,8.52
2020-10-13T08:14:06+00:00,8.51
2020-10-13T08:19:46+00:00,8.32
2020-10-13T08:23:40+00:00,8.33
2020-10-13T08:24:27+00:00,8.45
2020-10-13T08:26:03+00:00,8.59
2020-10-13T08:27:39+00:00,8.5
2020-10-13T08:28:00+00:00,8.39
2020-10-13T08:31:30+00:00,8.33
2020-10-13T08:32:40+00:00,8.45
2020-10-13T08:33:03+00:00,8.12
2020-10-13T08:36:35+00:00,8.34
2020-10-13T08:36:58+00:00,8.29
2020-10-13T08:38:07+00:00,8.45
2020-10-13T08:38:29+00:00,8.24
2020-10-13T08:39:38+00:00,8.51
2020-10-13T08:42:00+00:00,8.46
2020-10-13T08:43:58+00:00,8.31
2020-10-13T08:47:28+00:00,8.5
2020-10-13T08:51:26+00:00,8.51
2020-10-13T08:51:48+00:00,8.39
2020-10-13T08:52:58+00:00,8.44
2020-10-13T08:54:55+00:00,8.29
2020-10-13T08:56:53+00:00,8.41
2020-10-13T08:57:40+00:00,8.38
2020-10-13T09:02:00+00:00,8.4
2020-10-13T09:03:09+00:00,8.39
2020-10-13T09:03:31+00:00,8.21
2020-10-13T09:04:06+00:00,8.24
2020-10-13T09:04:27+00:00,8.4
2020-10-13T09:07:35+00:00,8.38
2020-10-13T09:09:30+00:00,8.28
2020-10-13T09:10:41+00:00,8.14
2020-10-13T09:14:37+00:00,8.4
2020-10-13T09:14:59+00:00,8.34
